Layer Thread Init Time,Layer Thread Elapsed Time,Total Layer Eval Time,Weight Thread Init Time,Weight Thread Elapsed Time,Total Weight Eval Time
0.0022112000000000798,0.00033599999999989194,0.023948999999999998,0.0013053000000002868,0.0005756999999997348,0.018587600000000037
0.0023108000000000573,0.001136299999999757,0.02238920000000011,0.0009622999999998605,0.001089900000000199,0.01939869999999999
0.002375000000000238,0.0011301999999999701,0.020057900000000295,0.001119499999999718,0.0010378000000001997,0.01903329999999981
0.0024792000000002368,0.001235499999999945,0.025471099999999858,0.0010675999999998353,0.0011670999999999765,0.019163299999999772
0.0022326999999999764,0.0015940000000003174,0.020984400000000125,0.0010175999999999519,0.0015015000000002665,0.015889299999999995
0.0026618999999996618,0.0012126999999999555,0.020184800000000003,0.0013980999999998467,0.0012373000000001078,0.015432099999999949
0.002515299999999776,0.0015309000000001127,0.019057099999999938,0.0015727000000000935,0.0012745999999999036,0.014906600000000214
0.0022611999999999632,0.002044900000000016,0.01878320000000011,0.0019719000000000264,0.0011695000000000455,0.01522699999999988
0.0030841999999999814,0.0012178000000000466,0.019616999999999774,0.0016484999999999417,0.0016514000000000806,0.015221599999999835
0.0034012999999997184,0.0010490000000000776,0.019966300000000103,0.002589700000000139,0.000769899999999879,0.015106799999999865
0.002843799999999952,0.002049400000000201,0.019394899999999993,0.002452899999999758,0.001077600000000345,0.015934800000000138
0.0033490000000000464,0.0013038999999999135,0.019362199999999774,0.0018733000000001887,0.001743799999999851,0.01545149999999973
0.0038892999999999844,0.0010194000000001147,0.01941729999999975,0.0031175000000001063,0.000614699999999857,0.015138500000000388
0.0035106999999996447,0.001576299999999975,0.019264699999999912,0.002128599999999814,0.00171790000000005,0.01531310000000019
0.004600899999999797,0.0006601000000001633,0.019132499999999997,0.0021818000000002336,0.0018876999999997146,0.015553199999999823
0.004271899999999995,0.0013025999999998206,0.01940260000000027,0.0028117000000000836,0.0015462999999997784,0.01508400000000032
0.0036680000000002266,0.0020107999999998682,0.019458500000000267,0.0035015000000000462,0.0008842000000002237,0.015302600000000055
0.0031362000000001444,0.002648900000000065,0.019434700000000138,0.003343800000000119,0.0011546000000000056,0.01501449999999993
